"species","flight_type"
"Octogomphus specularis","percher"
"Ophiogomphus acuminatus","percher"
"Ophiogomphus anomalus","percher"
"Ophiogomphus arizonicus","percher"
"Ophiogomphus aspersus","percher"
"Ophiogomphus australis","percher"
"Ophiogomphus bison","percher"
"Ophiogomphus carolus","percher"
"Ophiogomphus colubrinus","percher"
"Ophiogomphus edmundo","percher"
"Ophiogomphus howei","percher"
"Ophiogomphus incurvatus","percher"
"Ophiogomphus mainensis","percher"
"Ophiogomphus morrisoni","percher"
"Ophiogomphus occidentis","percher"
"Ophiogomphus rupinsulensis","percher"
"Ophiogomphus severus","percher"
"Ophiogomphus smithi","percher"
"Ophiogomphus susbehcha","percher"
"Ophiogomphus westfalli","percher"
"Phanogomphus australis","percher"
"Phanogomphus borealis","percher"
"Phanogomphus cavillaris","percher"
"Phanogomphus descriptus","percher"
"Phanogomphus diminutus","percher"
"Phanogomphus exilis","percher"
"Phanogomphus graslinellus","percher"
"Phanogomphus hodgesi","percher"
"Phanogomphus kurilis","percher"
"Phanogomphus lividus","percher"
"Phanogomphus militaris","percher"
"Phanogomphus minutus","percher"
"Phanogomphus oklahomensis","percher"
"Phanogomphus quadricolor","percher"
"Phanogomphus sandrius","percher"
"Phanogomphus spicatus","percher"
"Phanogomphus westfalli","percher"
"Phyllocycla breviphylla","percher"
"Phyllogomphoides albrighti","percher"
"Phyllogomphoides nayaritensis","percher"
"Phyllogomphoides stigmatus","percher"
"Progomphus alachuensis","percher"
"Progomphus bellei","percher"
"Progomphus borealis","percher"
"Progomphus obscurus","percher"
"Stenogomphurus consanguis","percher"
"Stenogomphurus rogersi","percher"
"Stylogomphus albistylus","percher"
"Stylogomphus sigmastylus","percher"
"Stylurus amnicola","percher"
"Stylurus intricatus","percher"
"Stylurus ivae","percher"
"Stylurus laurae","percher"
"Stylurus notatus","percher"
"Stylurus olivaceus","percher"
"Stylurus plagiatus","percher"
"Stylurus potulentus","percher"
"Stylurus scudderi","percher"
"Stylurus spiniceps","percher"
"Stylurus townesi","percher"
" ",NA
"Cordulegastridae -",NA
"Cordulegaster bilineata","flyer"
"Cordulegaster diadema","flyer"
"Cordulegaster diastatops","flyer"
"Cordulegaster dorsalis","flyer"
"Cordulegaster erronea","flyer"
"Cordulegaster maculata","flyer"
"Cordulegaster obliqua","flyer"
"Cordulegaster sarracenia","flyer"
"Cordulegaster sayi","flyer"
"Cordulegaster talaria","flyer"
" ",NA
"Macromiidae -",NA
"Didymops floridensis","flyer"
"Didymops transversa","flyer"
"Macromia alleghaniensis","flyer"
"Macromia annulata","flyer"
"Macromia illinoiensis","flyer"
"Macromia magnifica","flyer"
"Macromia margarita","flyer"
"Macromia pacifica","flyer"
"Macromia taeniolata","flyer"
" ",NA
"Corduliidae -",NA
"Cordulia shurtleffii","flyer"
"Dorocordulia lepida","flyer"
"Dorocordulia libera","flyer"
"Epitheca canis","flyer"
"Epitheca costalis","flyer"
"Epitheca cynosura","flyer"
"Epitheca petechialis","flyer"
"Epitheca princeps","flyer"
"Epitheca semiaquea","flyer"
"Epitheca sepia","flyer"
"Epitheca spinigera","flyer"
"Epitheca spinosa","flyer"
"Epitheca stella","flyer"
"Helocordulia selysii",NA
"Helocordulia uhleri",NA
"Neurocordulia alabamensis","flyer"
"Neurocordulia michaeli","flyer"
"Neurocordulia molesta","flyer"
"Neurocordulia obsoleta","flyer"
"Neurocordulia virginiensis","flyer"
"Neurocordulia xanthosoma","flyer"
"Neurocordulia yamaskanensis","flyer"
"Somatochlora albicincta","flyer"
"Somatochlora brevicincta","flyer"
"Somatochlora calverti","flyer"
"Somatochlora cingulata","flyer"
"Somatochlora elongata","flyer"
"Somatochlora ensigera","flyer"
"Somatochlora filosa","flyer"
"Somatochlora forcipata","flyer"
"Somatochlora franklini","flyer"
"Somatochlora georgiana","flyer"
"Somatochlora hineana","flyer"
"Somatochlora hudsonica","flyer"
"Somatochlora incurvata","flyer"
"Somatochlora kennedyi","flyer"
"Somatochlora linearis","flyer"
"Somatochlora margarita","flyer"
"Somatochlora minor","flyer"
"Somatochlora ozarkensis","flyer"
"Somatochlora provocans","flyer"
"Somatochlora sahlbergi","flyer"
"Somatochlora semicircularis","flyer"
"Somatochlora septentrionalis","flyer"
"Somatochlora tenebrosa","flyer"
"Somatochlora walshii","flyer"
"Somatochlora whitehousei","flyer"
"Somatochlora williamsoni","flyer"
"Williamsonia fletcheri","flyer"
"Williamsonia lintneri","flyer"
" ",NA
"Libellulidae -",NA
"Brachymesia furcata","percher"
"Brachymesia gravida","percher"
"Brachymesia herbida","percher"
"Brechmorhoga mendax","percher"
"Brechmorhoga pertinax","percher"
"Brechmorhoga praecox","percher"
"Cannaphila insularis","percher"
"Celithemis amanda","percher"
"Celithemis bertha","percher"
"Celithemis elisa","percher"
"Celithemis eponina","percher"
"Celithemis fasciata","percher"
"Celithemis martha","percher"
"Celithemis ornata","percher"
"Celithemis verna","percher"
"Crocothemis servilia","percher"
"Dythemis fugax","percher"
"Dythemis maya","percher"
"Dythemis nigrescens","percher"
"Dythemis velox","percher"
"Erythemis attala","percher"
"Erythemis collocata","percher"
"Erythemis mithroides","percher"
"Erythemis peruviana","percher"
"Erythemis plebeja","percher"
"Erythemis simplicicollis","percher"
"Erythemis vesiculosa",NA
"Erythrodiplax basifusca","percher"
"Erythrodiplax berenice","percher"
"Erythrodiplax fervida","percher"
"Erythrodiplax funerea","percher"
"Erythrodiplax fusca","percher"
"Erythrodiplax minuscula","percher"
"Erythrodiplax umbrata","percher"
"Idiataphe cubensis","percher"
"Ladona deplanata","percher"
"Ladona exusta","percher"
"Ladona julia","percher"
"Leucorrhinia borealis","percher"
"Leucorrhinia frigida","percher"
"Leucorrhinia glacialis","percher"
"Leucorrhinia hudsonica","percher"
"Leucorrhinia intacta","percher"
"Leucorrhinia patricia","percher"
"Leucorrhinia proxima","percher"
"Libellula auripennis","percher"
"Libellula axilena","percher"
"Libellula comanche","percher"
"Libellula composita","percher"
"Libellula croceipennis","percher"
"Libellula cyanea","percher"
"Libellula flavida","percher"
"Libellula forensis","percher"
"Libellula gaigei","percher"
"Libellula incesta","percher"
"Libellula jesseana","percher"
"Libellula luctuosa","percher"
"Libellula needhami","percher"
"Libellula nodisticta","percher"
"Libellula pulchella","percher"
"Libellula quadrimaculata","percher"
"Libellula saturata","percher"
"Libellula semifasciata","percher"
